artist,album,track,uri,time_signature,popularity_levels,album.release_year_category,artist.id,artist.genres,estimated_genre_type,genre_category
Susana China,Trapézio,Num Dia Triste,7wpwrJ4A2ihb8GFgAg7Z4R,4,"[0,1]","(2015,2022]",1AGEQE7IRNqCFE73Tk8ad5,,,Not Assigned
Sonny Stitt Quartet,Tune-Up!/Constellation,Blues For Prez And Bird,5Uf86ivTbLbBLAtWTYd3GR,4,"[0,1]","(2002,2010]",03Sna6rwmroeEViv4M4K8H,bebop|hard bop|jazz quartet,jazz,jazz
Plaid,The Digging Remedy,The Bee,0YZd21NzDeKB0fhZbrXI5R,4,"(1,24]","(2015,2022]",5akVqMzdZOdbMYbE4vNZWD,abstract|ambient|deep idm|drill and bass|electronica|intelligent dance music|microhouse|ninja,dance,dance
Bruno Mars,24K Magic,Perm,1I6pKIyaBp4OebTGLJpCCC,4,"(24,85]","(2015,2022]",0du5cEVh5yTK9QJze8zA0C,dance pop|pop,dance,dance
Lee Morgan,The Sidewinder,Gary's Notebook - Remastered 1999/Rudy Van Gelder Edition,00dDsLgxoPzhbPD3owDfwT,3,"(24,85]","[1957,2002]",38C3okxv3fyyOIQUVPCdGX,bebop|big band|free jazz|hard bop|jazz|jazz trumpet|soul jazz,jazz,jazz
Beachwood Sparks,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),By Your Side,3gbKfaySxvAjFIJSREWMHF,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
The Mars Volta,Frances the Mute,Faminepulse,3PJ64LYAar5yb6oLbEio0w,3,"[0,1]","(2002,2010]",75U40yZLLPglFgXbDVnmVs,alternative metal|el paso indie,alternative,alternative
Charles McPherson,Siku Ya Bibi,God Bless The Child,3vCwCnWYnuOVxAfmxYLJxF,3,"[0,1]","[1957,2002]",6iRat96avb9tai5DCUZ7qf,,,Not Assigned
Silversun Pickups,Carnavas,Rusted Wheel,1DszWEwOYRCMeSI88kJBNZ,4,"[0,1]","(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,alternative,alternative
Ensiferum,Ensiferum,Eternal Wait,4KQeDacpUC0JKCuiN3uxnK,3,"(24,85]","[1957,2002]",0krXCIkthz13P8o0v2tksH,finnish melodeath|finnish metal|folk metal|melodic death metal|metal|nordic folk metal|power metal|viking metal,metal,other
Cannonball Adderley,Nancy Wilson/Cannonball Adderley,Never Say Yes - Instrumental,0ytLYKu0i5wA9nwEKkeDoo,4,"(1,24]","[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,jazz,jazz
Susana China,Trapézio,Espelho Meu,4LMJVdIy4b77wzSrR49vL0,4,"[0,1]","(2015,2022]",1AGEQE7IRNqCFE73Tk8ad5,,,Not Assigned
The Mars Volta,Frances the Mute,Cassandra Gemini,1mARmtHCD4i6G6Pojebrwc,5,"[0,1]","(2002,2010]",75U40yZLLPglFgXbDVnmVs,alternative metal|el paso indie,alternative,alternative
Lamb of God,Ashes Of The Wake,Omerta,1uOkapWUZPXQRRHTAAfu6E,4,"(1,24]","(2002,2010]",3JFsVIxOn7STeilPICkkB2,alternative metal|groove metal|melodic metalcore|metal|nu metal|virginia metal,alternative,alternative
Donald Harrison,Quantum Leap,Nouveau Swing,5qvX0l7mSZowizanVuHTsF,4,"[0,1]","(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,jazz,jazz
John Coltrane,Coltrane's Sound,Satellite,3aEshDcbhyoOtsxbP0RYoQ,5,"(24,85]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Krafty Kai,"Japanese Boogie & Disco, Vol. 2",Video Games,2yZtaB2gFMO3scr6xuXfor,4,"[0,1]","(2015,2022]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Charles McPherson,Come Play With Me,Get Happy,139fAdiecDWQZMETZg4Ofj,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Juan Serrano,At the World's Fair,Espadaña (Soleares),6eef8md9IQut9r4SnyevBB,4,"[0,1]","[1957,2002]",3QFILZBmorcywC5QvAnm50,flamenco guitar|rumba,guitar,other
Art Blakey & The Jazz Messengers,Moanin',Come Rain Or Come Shine - Remastered,4nrQ0ohqu5sXqMg2p4YzkE,4,"(24,85]","[1957,2002]",6ykfXAed2KOLOMI3R0TZdz,bebop|hard bop|jazz|jazz drums|jazz fusion,jazz,jazz
Charlie Parker,Bird - Original Motion Picture Soundtrack,Parker's Mood,4XZSUds3wcqjbP6Lq7jFrm,4,"(1,24]","[1957,2002]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
TWICE,Eyes Wide Open,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,4,"(24,85]","(2015,2022]",7n2Ycct7Beij7Dj7meI4X0,k-pop|k-pop girl group,k-pop,other
What the Tango?!,Alt Mission,Que Vuelva La Lluvia,4xRNGeuF23EXhemYLOWapy,4,"[0,1]","(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,,Not Assigned
Charlie Parker,Charlie Parker With Strings,You Came Along (From Out Of Nowhere),7nZ7puXWfpmJKD8WxRzKwU,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
rü,terodesu,Ruido,4kHc1TZrL6MdeabL6VeJty,4,"[0,1]","(2015,2022]",1slGKMObSjFDHaNM5ILhSv,peruvian indie,indie,indie
DJ Shadow,The Mountain Will Fall,Swerve - Bonus Track,6eAAFIiLAyQaI6eFYbHu8q,4,"[0,1]","(2015,2022]",5CE2IfdYZEQGIDsfiRm8SI,big beat|downtempo|electronica|hip-hop|trip hop|turntablism,big,other
Portugal. The Man,In the Mountain in the Cloud,So American,4vWNhCGqrNVfZxunY47GDf,4,"(24,85]","(2010,2015]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,alternative,alternative
AILEE,"Guardian (Original Television Soundtrack), Pt. 9",I Will Go To You Like the First Snow,2BPXILn0MqOe5WroVXlvN1,4,"(24,85]","(2015,2022]",3uGFTJ7JMllvhgGpumieHF,k-pop|korean pop,pop,pop
Tina Guo,Game On!,Tetris,06H9mGD1UHvhSfCdFEPPiB,4,"(1,24]","(2015,2022]",46T4yCHjQfVxokuATj1SiV,cello,cello,other
Nancy Wilson,Nancy Wilson/Cannonball Adderley,Happy Talk,7ahQIRq0EOeY9UYVvABDFp,4,"(24,85]","[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,jazz,jazz
Crash and the Boys,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),"I'm So Sad, So Very, Very, Sad",7owtzk8BratruaUx09Ka8J,0,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Flying Lotus,Cosmogramma,Clock Catcher,3C1z7AyGWhSNITaiz5tgws,4,"(24,85]","(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,alternative,alternative
