duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
293627,0,0.503,0.162,-16.406,0.0385,0.946,0.18,0.168,0.206,121.268,1999,0,20
440560,1,0.448,0.124,-18.71,0.0356,0.903,0.792,0.108,0.127,92.768,2006,10,1884
262079,25,0.718,0.456,-8.218,0.027,0.604,0.00015,0.0991,0.418,93.025,2015,38,36295
505333,11,0.459,0.589,-8.507,0.0488,0.385,0.753,0.153,0.605,146.54,1999,0,1738944
232000,0,0.372,0.964,-3.437,0.135,0.0151,0,0.285,0.297,140.745,2010,54,123161
217599,0,0.376,0.373,-10.164,0.0379,0.954,0.156,0.166,0.374,118.29,2015,53,540626
503173,17,0.448,0.432,-14.468,0.0328,0.386,0,0.0628,0.622,113.678,2018,65,1480095
327520,0,0.548,0.596,-9.182,0.0359,0.699,0.68,0.253,0.41,110.119,2006,47,138549
534813,0,0.323,0.694,-11.596,0.0338,0.165,0.856,0.0916,0.65,142.787,2016,42,197324
608426,0,0.467,0.469,-8.98,0.0393,0.515,9.9e-05,0.325,0.512,78.089,2010,35,8929
222653,27,0.423,0.592,-8.555,0.0322,0.00192,0.868,0.111,0.145,100.058,2017,49,57563
236746,47,0.598,0.883,-3.456,0.0792,0.0895,0,0.0731,0.705,115.023,2019,76,7967911
161506,43,0.422,0.238,-15.208,0.0346,0.624,0.932,0.0922,0.16,154.986,2016,44,98561
200266,0,0.428,0.406,-9.143,0.0371,0.931,0.321,0.389,0.555,126.78,2015,53,540626
317946,42,0.364,0.114,-16.552,0.0333,0.857,0.635,0.0839,0.0575,117.715,1997,35,56427
736000,0,0.441,0.451,-9.666,0.0593,0.761,0.000389,0.241,0.661,175.672,2010,35,8929
269538,58,0.625,0.655,-5.992,0.112,0.763,0.000126,0.378,0.485,121.075,2018,85,6547564
118320,33,0.685,0.989,-3.211,0.317,0.000613,0.00167,0.0991,0.522,76.972,2010,57,714382
274121,0,0.699,0.922,-4.284,0.164,0.0219,0.000713,0.44,0.546,126.991,2014,27,31260
327773,0,0.568,0.219,-11.486,0.049,0.976,0.319,0.0752,0.572,124.1,1999,0,20
222328,23,0.743,0.844,-4.595,0.092,0.00903,0.0481,0.257,0.518,146.046,2013,37,88698
191000,0,0.276,0.964,-3.392,0.0817,1.78e-05,0.751,0.38,0.289,144.9,2010,54,123161
550760,2,0.549,0.478,-10.873,0.0374,0.788,0.052,0.205,0.792,124,2010,10,1412
357784,0,0.652,0.753,-4.026,0.0706,0.000321,0.0276,0.204,0.31,128.469,2013,51,173496
408853,8,0.413,0.112,-18.278,0.0356,0.943,0.236,0.132,0.0735,102.573,2015,24,1587
308240,0,0.46,0.727,-8.012,0.0309,4.99e-05,0.038,0.105,0.249,134.127,2005,63,261659
302951,41,0.336,0.325,-15.999,0.0351,0.797,0.779,0.104,0.0927,147.361,2020,74,1031796
436160,0,0.512,0.268,-12.955,0.0754,0.88,0.648,0.108,0.301,181.873,2008,0,1738944
209079,0,0.428,0.274,-9.461,0.0317,0.981,0.524,0.261,0.358,116.551,2015,53,540626
275080,1,0.356,0.466,-22.87,0.0717,0.948,0.865,0.723,0.829,110.624,1965,34,2830
382706,21,0.316,0.131,-19.735,0.0367,0.975,0.854,0.101,0.0439,89.375,1973,39,44896
265346,0,0.458,0.421,-12.891,0.0384,0.622,0.0154,0.186,0.19,123.987,2015,24,1587
479283,0,0.429,0.305,-9.199,0.0404,0.739,0.0241,0.697,0.156,134.313,2010,0,1738944
215214,0,0.467,0.626,-5.671,0.0363,0.0112,4.08e-05,0.207,0.0598,100.096,2013,51,173496
182083,0,0.221,0.928,-4.036,0.0481,0.00161,0.873,0.164,0.1,109.739,2013,51,173496
311946,0,0.536,0.503,-12.578,0.038,0.624,0.106,0.114,0.523,93.966,2010,22,5145
297453,2,0.671,0.279,-14.832,0.0452,0.814,0.754,0.108,0.543,94.958,2010,22,5145
494880,0,0.463,0.373,-14.512,0.0443,0.388,0.843,0.0744,0.178,138.408,2016,42,197324
378335,0,0.768,0.744,-12.064,0.0502,0.193,0.763,0.108,0.817,112.352,2017,0,1738944
224506,0,0.567,0.836,-7.361,0.0371,0.0739,4.35e-05,0.284,0.659,149.967,2007,47,144710
459333,0,0.442,0.502,-18.18,0.0354,0.0565,0.575,0.107,0.167,188.421,1991,42,157593
266906,0,0.493,0.563,-9.955,0.0355,0.67,0.114,0.335,0.666,115.741,2007,42,3881
