artist,album,track,uri,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_levels,album.release_year,album.release_year_category,artist.id,artist.genres,artist.popularity,artist.number_of_followers,estimated_genre_type,genre_category
The Mars Volta,Frances the Mute,Multiple Spouse Wounds,5Lyi0JsUoPIb3sKPaC4FFn,46680,0,0.39,0.994,-0.817,0.149,0.0113,0.0036,0.691,0.318,126.701,4,"[0,1]",2005,"(2002,2010]",75U40yZLLPglFgXbDVnmVs,alternative metal|el paso indie,54,589172,alternative,alternative
Lee Morgan,Cornbread,Our Man Higgins,6Ay3xLmG2zLku1ZM0RytBc,534000,21,0.59,0.639,-12.135,0.064,0.755,0.00261,0.129,0.68,117.194,4,"(1,24]",1965,"[1957,2002]",38C3okxv3fyyOIQUVPCdGX,bebop|big band|free jazz|hard bop|jazz|jazz trumpet|soul jazz,47,126668,jazz,jazz
The Dear Hunter,"Act II: The Meaning Of, And All Things Regarding Ms. Leading",The Procession,4aa7donkNtMAJSXafvkbba,299200,0,0.462,0.898,-5.846,0.0541,0.000989,0.00231,0.0996,0.322,166.787,3,"[0,1]",2007,"(2002,2010]",51lE580QM13Anmb3mK2j1e,dreamo|progressive jazz fusion|progressive post-hardcore,47,144710,jazz,jazz
Frédéric Chopin,Chopin Nocturnes,"Nocturnes, Op. 9: No. 1 in B-Flat Minor",06xJJG3SSpgx1GeQZNH7mi,296040,26,0.312,0.0198,-22.057,0.0477,0.983,0.938,0.102,0.0701,73.778,4,"(24,85]",2016,"(2015,2022]",7y97mc3bZRFXzT2szRM4L4,classical|early romantic era|polish classical,74,2898005,classical,other
The Dear Hunter,"Act II: The Meaning Of, And All Things Regarding Ms. Leading",Black Sandy Beaches,34o2FXUgvjHHYr3LtA0uGI,253493,0,0.299,0.529,-8.21,0.0374,0.0468,0,0.72,0.293,120.383,3,"[0,1]",2007,"(2002,2010]",51lE580QM13Anmb3mK2j1e,dreamo|progressive jazz fusion|progressive post-hardcore,47,144710,jazz,jazz
KNOWER,Let Go,Something More,30DlhZ982J4ONXhNYoXqTz,288088,19,0.605,0.945,-3.201,0.32,0.00811,0.00163,0.242,0.273,135.996,4,"(1,24]",2013,"(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,37,88698,pop,pop
Slint,Spiderland,For Dinner…,1jTWZ39Hv3anDbjR353SPR,305666,0,0.285,0.023,-31.089,0.041,0.761,0.884,0.11,0.0903,167.908,4,"[0,1]",1991,"[1957,2002]",4IwOItqRhsIoRuD5HP4vyC,alternative rock|art rock|dream pop|experimental|experimental rock|indie rock|louisville underground|math rock|post-hardcore|post-punk|post-rock|slowcore,42,157593,alternative,alternative
Charles Mingus,The Clown,Haitian Fight Song,7iRXxr5SlW13UYlVg2V6Zt,721600,37,0.504,0.224,-15.824,0.0393,0.815,0.0872,0.0922,0.302,75.499,4,"(24,85]",1957,"[1957,2002]",1W8TbFzNS15VwsempfY12H,avant-garde jazz|bebop|contemporary post-bop|cool jazz|electric bass|free jazz|hard bop|jazz|jazz double bass|jazz fusion|uk contemporary jazz,49,416716,jazz,jazz
Nancy Wilson,Nancy Wilson/Cannonball Adderley,The Masquerade Is Over,1jf3wYtynxiPOdhqAp3cUN,258106,54,0.341,0.0446,-18.109,0.0348,0.909,0.00785,0.157,0.128,174.365,3,"(24,85]",1962,"[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,59,192779,jazz,jazz
Frédéric Chopin,Chopin Nocturnes,"Nocturnes, Op. 37: No. 2 in G Major",1MoCe6ibUiO5yjsOIIgt1T,397173,10,0.373,0.0405,-23.872,0.0422,0.994,0.938,0.177,0.0653,75.996,3,"(1,24]",2016,"(2015,2022]",7y97mc3bZRFXzT2szRM4L4,classical|early romantic era|polish classical,74,2898005,classical,other
